"","bbl, address_1, city, state","No_Match"
"12","3054740017, 1840 52nd street, New York, New York","No_Match"
"13","1004560006, 407 E 61st, New York, New York","No_Match"
"14","3054687501, 1845 52nd Street, New York, New York","No_Match"
"15","1005960002, 340 WEST ST, New York, New York","No_Match"
"16","1009110017, 227 E 30TH ST, New York, New York","No_Match"
"17","2000243069, 2089 Arthur Avenue, New York, New York","No_Match"
"18","1000101566, 425 E 86th St Apartment, New York, New York","No_Match"
"19","5058437502, 13-34 Estates Ln, New York, New York","No_Match"
"360","1008971030, 205 East 16th St., New York, New York","No_Match"
"240","1040447501, 14-34 110th Street, New York, New York","No_Match"
"361","1008971031, 205 East 16th St., New York, New York","No_Match"
"120","3075760000, 2201 Nostrand Avenue, New York, New York","No_Match"
"241","1013160005, 201/205  East  42nd  st., New York, New York","No_Match"
"362","1008971032, 205 East 16th St., New York, New York","No_Match"
"121","1001420100, 101 Murray St, New York, New York","No_Match"
"242","1014630011, 415 E 68 St, New York, New York","No_Match"
"363","1008971033, 205 East 16th St., New York, New York","No_Match"
"122","2023450025, 1175 Findlay Ave, New York, New York","No_Match"
"243","1009620008, 550 First Avenue, New York, New York","No_Match"
"364","1008971034, 205 East 16th St., New York, New York","No_Match"
"123","2024420025, 338 Berry Street, New York, New York","No_Match"
"244","1002000012, 202 Canal Street, New York, New York","No_Match"
"365","1008971035, 205 East 16th St., New York, New York","No_Match"
"124","3066060026, 1543 w 1st st, New York, New York","No_Match"
"245","1005711101, 25 E 13th Street, New York, New York","No_Match"
"366","1008971036, 205 East 16th St., New York, New York","No_Match"
"125","4002140210, 33-00 Northern Blvd, New York, New York","No_Match"
"246","1005700000, 25 E 13th Street, New York, New York","No_Match"
"367","3025780014, 236 Greenpoint Avenue, New York, New York","No_Match"
"126","4099500038, 183-11 Hillside Ave, New York, New York","No_Match"
"247","1000160190, 22 RIVER TERRACE, New York, New York","No_Match"
"368","3025780022, 236 Greenpoint Avenue, New York, New York","No_Match"
"127","1008190006, 55 West 17, New York, New York","No_Match"
"248","1007600026, 315 W 36th, New York, New York","No_Match"
"369","3018920051, 74 Grand Avenue, New York, New York","No_Match"
"128","1005520022, 33 Washington Square West, New York, New York","No_Match"
"249","1003530035, 105 Norfolk Street, New York, New York","No_Match"
"129","1003851102, 252 E 2nd Street, New York, New York","No_Match"
"20","1012800480, 4411 Broadway, New York, New York","No_Match"
"21","5029860023, 390-430 Maryalnd Ave, New York, New York","No_Match"
"22","4001530001, 47-47 Van Dam Street, New York, New York","No_Match"
"23","2011140001, 60-01 31st Ave, New York, New York","No_Match"
"24","5015540120, 1441 Richmond Road, New York, New York","No_Match"
"25","1015737501, 325-327 East 101st Street, New York, New York","No_Match"
"26","1010631301, 810 10th Avenue, New York, New York","No_Match"
"27","1001860001, 388 GREENWICH STREET, New York, New York","No_Match"
"28","1010277504, 1745 Broadway, New York, New York","No_Match"
"29","1007819002, 2 Penn Plaza, New York, New York","No_Match"
"370","3018920052, 74 Grand Avenue, New York, New York","No_Match"
"250","1021800189, 736 west 187th st., New York, New York","No_Match"
"371","1001490031, 57 Reade Street, New York, New York","No_Match"
"130","3070530013, 2926 WEST 25TH STREET - CICD SITE 4, New York, New York","No_Match"
"251","1011671002, 2138 broadway, New York, New York","No_Match"
"372","1001490030, 57 Reade Street, New York, New York","No_Match"
"131","4081560100, 567 East 105th Street, New York, New York","No_Match"
"252","3042719001, 735 Lincoln Avenue, New York, New York","No_Match"
"373","2032790029, 2828 Decatur Avenue, New York, New York","No_Match"
"132","4004030021, 29-27 41st Avenue, New York, New York","No_Match"
"253","4000620046, 11-02 49th Avenue, New York, New York","No_Match"
"374","2232790030, 2828 Decatur Avenue, New York, New York","No_Match"
"133","1010050013, 135 West 52nd Street, New York, New York","No_Match"
"254","1012670019, 25 w 51 st street, New York, New York","No_Match"
"375","1002120009, 50 Varick Street, New York, New York","No_Match"
"134","2032519450, 3600 Paul Avenue, New York, New York","No_Match"
"255","1012770010, 6 East 43rd Street, New York, New York","No_Match"
"376","2026960024, 864 Hewitt Place, New York, New York","No_Match"
"135","1012340019, 225 West 86th Street, New York, New York","No_Match"
"256","3023500001, 85-101 North 3rd Street, New York, New York","No_Match"
"377","2026960029, 864 Hewitt Place, New York, New York","No_Match"
"136","4103660080, 179-45 110th Avenue, New York, New York","No_Match"
"257","3000010216, 10 Bay Street Landings, New York, New York","No_Match"
"378","4014850043, 40-40 75th Street, New York, New York","No_Match"
"137","3071240039, 71 Village Road, New York, New York","No_Match"
"258","1010260049, 230 West 55th Street, New York, New York","No_Match"
"379","4014850045, 40-40 75th Street, New York, New York","No_Match"
"138","3087208001, 95 Oceana Drive East, New York, New York","No_Match"
"259","1004890001, 55 Thompson, New York, New York","No_Match"
"139","3037360001, 213 Georgia Avenue, New York, New York","No_Match"
"30","1013140015, 222 East 41st St., New York, New York","No_Match"
"31","1012809010, 200 Park Ave, New York, New York","No_Match"
"32","1010277502, 1740 Broadway, New York, New York","No_Match"
